,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3,Adj_EPA,Adj_REDZONETD%,Adj_POINTS_last3,EPA_x_REDZONETD,YARD_RATIO
46,ARI,2024_02_LA_ARI,1,266,231,1,0.583333333333333,0.2,33,21.8947368421053,0.329899783546232,0.822776754143974,0.0850588914997655,0.602564102564103,41,0.144978042459721,0.117647058823529,28.0,21.3,-20.97010021645377,0.08235294117647102,6.699999999999999,0.0659799567092464,1.146551724137931
72,ARI,2024_03_DET_ARI,1,207,77,1,0.181818181818182,0.25,79,21.0555555555556,-0.13607811659587,-0.160911563535775,-0.389087742613346,0.472222222222222,10,0.2374389130029765,0.1588235294117645,34.5,21.59736842105265,-21.73344653764852,0.0911764705882355,12.90263157894735,-0.0340195291489675,2.6538461538461537
126,ARI,2024_04_WAS_ARI,1,142,181,1,0.363636363636364,0.222222222222222,20,24.5,-0.0604941768451999,-0.232080035681765,0.0323084805677354,0.513888888888889,14,0.11293323647002768,0.18921568627450966,26.333333333333332,21.416764132553634,-21.477258309398835,0.03300653594771233,4.916569200779698,-0.013443150410044407,0.7802197802197802
128,ARI,2024_05_ARI_SF,0,195,169,1,0.3,0.0909090909090909,11,25.0,0.018857065441513,-0.0589467265222575,0.349898393952173,0.513888888888889,24,0.04444249670172071,0.224074074074074,21.666666666666668,22.4834307992203,-22.46457373377879,-0.1331649831649831,-0.816764132553633,0.0017142786765011815,1.1470588235294117
156,ARI,2024_06_ARI_GB,0,214,89,3,0.363636363636364,0.111111111111111,85,19.2777777777778,-0.130582380496773,-0.0530890718328871,-0.223907374852823,0.493333333333333,13,-0.05923840933318563,0.18771043771043763,16.0,23.518518518518533,-23.649100899015306,-0.07659932659932664,-7.518518518518533,-0.01450915338853032,2.3777777777777778
198,ARI,2024_07_LAC_ARI,1,145,181,1,0.333333333333333,0.0909090909090909,52,17.6666666666667,0.0837151036630212,-0.0131570964093463,0.0831636586463665,0.527777777777778,14,-0.0574064973001533,0.1414141414141413,17.0,22.925925925925934,-22.842210822262913,-0.0505050505050504,-5.9259259259259345,0.007610463969365563,0.7967032967032966
214,ARI,2024_08_ARI_MIA,0,307,82,0,0.466666666666667,0.125,34,20.7647058823529,0.227882665666992,0.509264991834819,-0.0406904340658072,0.54320987654321,25,-0.009336737130746267,0.0976430976430976,17.0,20.648148148148167,-20.420265482481174,0.0273569023569024,-3.6481481481481666,0.028485333208374,3.6987951807228914
246,ARI,2024_09_CHI_ARI,1,154,213,2,0.384615384615385,0.0952380952380952,17,20.8823529411765,0.0428039614055495,-0.317417834704461,0.0982191201917593,0.506849315068493,29,0.0603384629444134,0.10900673400673395,17.333333333333332,19.2363834422658,-19.19357948086025,-0.01376863876863875,-1.9030501089324687,0.004076567752909475,0.719626168224299
294,ARI,2024_10_NYJ_ARI,1,266,147,0,0.714285714285714,0.307692307692308,50,23.0588235294118,0.325060325491166,0.719222243263704,0.0974475423741575,0.623188405797101,31,0.11813391024518756,0.1037157287157287,22.666666666666668,19.771241830065367,-19.446181504574202,0.20397657897657928,2.8954248366013005,0.10001856168958963,1.7972972972972974
332,ARI,2024_12_ARI_SEA,0,285,49,1,0.230769230769231,0.0,55,21.2352941176471,-0.167075283131825,-0.126486665844718,-0.35936820374835,0.394366197183099,6,0.1985823175212358,0.17597680097680105,28.333333333333332,21.5686274509804,-21.735702734112227,-0.17597680097680105,6.764705882352931,-0.0,5.7
358,ARI,2024_13_ARI_MIN,0,260,154,2,0.466666666666667,0.0588235294117647,116,19.3333333333333,0.024134903749134,0.0165862358731188,0.0654998719352314,0.514851485148515,22,0.06692966792163016,0.13431013431013442,22.0,21.725490196078468,-21.701355292329335,-0.07548660489836972,0.2745098039215321,0.001419700220537294,1.6774193548387097
414,ARI,2024_14_SEA_ARI,1,259,121,2,0.333333333333333,0.0666666666666667,59,21.2352941176471,-0.116137905474537,-0.110779617661871,0.0084369462053089,0.5,18,0.06070664870282499,0.12217194570135759,19.666666666666668,21.2091503267974,-21.325288232271937,-0.055505279034690894,-1.5424836601307312,-0.007742527031635803,2.122950819672131
438,ARI,2024_15_NE_ARI,1,232,163,0,0.6875,0.1875,65,23.8235294117647,0.181469962444372,0.325083370754917,0.037555286546353,0.48780487804878,30,-0.08635942828574267,0.041830065359477135,15.333333333333334,20.6013071895425,-20.419837227098128,0.14566993464052286,-5.267973856209165,0.03402561795831975,1.4146341463414633
448,ARI,2024_16_ARI_CAR,0,202,206,2,0.411764705882353,0.214285714285714,97,30.8235294117647,0.121062340804301,0.0382809367657087,0.314270367690265,0.51685393258427,30,0.02982232023965632,0.10433006535947713,23.333333333333332,21.464052287581705,-21.342989946777404,0.10995564892623687,1.8692810457516273,0.02594193017235018,0.9758454106280193
480,ARI,2024_17_ARI_LA,0,321,113,2,0.5,0.0555555555555556,48,21.8947368421053,-0.0641995083302514,0.0427595100215333,-0.131800323995941,0.505494505494505,9,0.06213146592471199,0.15615079365079357,26.0,25.294117647058837,-25.358317155389088,-0.10059523809523796,0.7058823529411633,-0.0035666393516806364,2.8157894736842106
540,ARI,2024_18_SF_ARI,1,242,151,0,0.333333333333333,0.19047619047619,45,25.0,0.252902568882549,0.228881362892817,0.273232280875651,0.583333333333333,46,0.0794442649728072,0.15244708994708986,23.0,25.513931888544903,-25.261029319662352,0.038029100529100135,-2.513931888544903,0.048171917882390156,1.5921052631578947
26,ATL,2024_01_PIT_ATL,1,155,89,3,0.272727272727273,0.125,54,20.7222222222222,-0.246584575728043,-0.407151613848366,-0.282944227079332,0.485294117647059,10,0.02843141623702479,0.13492063492063477,19.5,26.359133126935003,-26.605717702663046,-0.009920634920634774,-6.859133126935003,-0.030823071966005373,1.7222222222222223
32,ATL,2024_02_ATL_PHI,0,241,152,0,0.222222222222222,0.0666666666666667,48,17.6190476190476,0.141498201146777,0.293003269025195,-0.0167643572159918,0.513888888888889,22,-0.1553920420291472,0.0902777777777778,9.5,21.30847953216375,-21.166981331016974,-0.02361111111111111,-11.808479532163751,0.009433213409785137,1.5751633986928104
80,ATL,2024_03_KC_ATL,1,230,82,1,0.272727272727273,0.153846153846154,81,20.1,-0.0064002290397489,0.0902170764121756,-0.344575310089567,0.466666666666667,17,-0.05254318729063301,0.09583333333333335,16.0,19.1706349206349,-19.177035149674648,0.05801282051282064,-3.1706349206348996,-0.0009846506214998317,2.7710843373493974
116,ATL,2024_04_NO_ATL,1,238,88,2,0.363636363636364,0.0,81,23.1176470588235,0.0850433768114459,-0.029699907205334,0.138249358845254,0.430555555555556,23,-0.037162201207004975,0.11517094017094022,16.333333333333332,19.480423280423267,-19.395379903611822,-0.11517094017094022,-3.1470899470899347,0.0,2.6741573033707864
154,ATL,2024_05_TB_ATL,1,509,73,1,0.466666666666667,0.181818181818182,87,21.6666666666667,0.14316196399992,0.355892680137096,-0.186954712427299,0.514018691588785,30,0.07338044963949132,0.07350427350427356,20.666666666666668,20.278898225957033,-20.135736261957113,0.10831390831390843,0.38776844070963534,0.02602944799998548,6.878378378378378
158,ATL,2024_06_ATL_CAR,0,225,198,1,0.538461538461538,0.133333333333333,25,30.8235294117647,0.201435462162828,0.232066112961881,0.320625039565127,0.536585365853659,38,0.07393503725720565,0.11188811188811199,23.333333333333332,21.628104575163402,-21.426669113000575,0.021445221445221013,1.7052287581699304,0.026858061621710335,1.1306532663316582
210,ATL,2024_07_SEA_ATL,1,246,155,3,0.444444444444444,0.181818181818182,42,21.2352941176471,-0.143411033645705,-0.206498021021044,0.0367570944457134,0.5,14,0.14321360099139796,0.10505050505050499,30.333333333333332,25.202614379084967,-25.346025412730672,0.076767676767677,5.1307189542483655,-0.026074733390128207,1.5769230769230769
216,ATL,2024_08_ATL_TB,0,276,129,0,0.538461538461538,0.166666666666667,40,21.6666666666667,0.158674596651871,0.488454160182887,0.0157562974749887,0.578947368421053,31,0.06706213083901431,0.16565656565656564,27.333333333333332,24.575163398692833,-24.416488802040963,0.0010101010101013497,2.758169934640499,0.026445766108645217,2.123076923076923
248,ATL,2024_09_DAL_ATL,1,222,100,1,0.285714285714286,0.230769230769231,25,27.2941176470588,0.0185402847706572,0.276086371471243,-0.0580988371425687,0.458333333333333,27,0.07223300838966466,0.16060606060606067,27.666666666666668,24.575163398692833,-24.556623113922175,0.07016317016317034,3.0915032679738346,0.00427852725476705,2.198019801980198
276,ATL,2024_10_ATL_NO,0,306,181,1,0.411764705882353,0.0625,75,23.1176470588235,-0.0365464487385099,-0.0303767436356571,0.207136067492684,0.531914893617021,17,0.011267949258941054,0.1930846930846933,24.0,23.398692810457533,-23.43523925919604,-0.1305846930846933,0.6013071895424673,-0.002284153046156869,1.6813186813186813
304,ATL,2024_11_ATL_DEN,0,197,50,1,0.357142857142857,0.0,40,18.3888888888889,-0.171990238197613,-0.156295563681515,-0.464330184747398,0.44,6,0.046889477561339425,0.153311965811966,25.0,24.02614379084967,-24.19813402904728,-0.153311965811966,0.9738562091503304,-0.0,3.8627450980392157
368,ATL,2024_13_LAC_ATL,1,245,116,4,0.214285714285714,0.0588235294117647,24,17.6666666666667,-0.169639722041975,-0.290838837165726,-0.180399679199704,0.478260869565217,13,-0.06333213405515524,0.09775641025641034,16.666666666666668,22.933551198257067,-23.103190920299042,-0.03893288084464564,-6.266884531590399,-0.009978807178939704,2.094017094017094
390,ATL,2024_14_ATL_MIN,0,344,158,3,0.538461538461538,0.105263157894737,60,19.3333333333333,0.0004270360971864,0.0188362215069065,0.193250235058915,0.555555555555556,21,-0.1260588029926993,0.04044117647058823,12.0,19.7244008714597,-19.723973835362514,0.06482198142414877,-7.7244008714597,4.495116812488428e-05,2.1635220125786163
416,ATL,2024_15_ATL_LV,0,112,168,1,0.333333333333333,0.0,45,25.1176470588235,-0.198556644421863,-0.37559989432751,-0.120241238248025,0.346153846153846,15,-0.11373430804746722,0.05469556243550056,13.333333333333334,18.462962962962965,-18.66151960738483,-0.05469556243550056,-5.1296296296296315,-0.0,0.6627218934911243
468,ATL,2024_16_NYG_ATL,1,202,127,1,0.5625,0.105263157894737,60,24.0588235294118,0.066336592392204,0.242508881247064,-0.0421388984557577,0.531645569620253,34,-0.12258977678888387,0.05469556243550056,16.333333333333332,20.705882352941167,-20.639545760548963,0.05056759545923644,-4.372549019607835,0.00698279919917938,1.578125
482,ATL,2024_17_ATL_WAS,0,223,126,1,0.307692307692308,0.2,53,24.5,0.100012114729381,-0.0173770918330268,0.199802681554423,0.5625,24,-0.0439310053108242,0.07017543859649134,23.333333333333332,22.836601307189536,-22.736589192460155,0.12982456140350868,0.4967320261437962,0.020002422945876203,1.7559055118110236
514,ATL,2024_18_CAR_ATL,1,312,227,1,0.642857142857143,0.16,55,30.8235294117647,0.200633084953202,0.140176386750782,0.448443948726268,0.648936170212766,38,-0.010735979100092672,0.10175438596491233,24.333333333333332,24.558823529411768,-24.358190444458565,0.05824561403508767,-0.2254901960784359,0.03210129359251232,1.368421052631579
2,BAL,2024_01_BAL_KC,0,273,185,1,0.4375,0.0588235294117647,40,20.1,0.0210170840130652,-0.0593133239182627,0.264350246208455,0.563829787234043,20,0.08317435356079249,0.1526315789473685,29.0,24.279411764705902,-24.258394680692838,-0.09380804953560382,4.720588235294098,0.0012362990595920704,1.467741935483871
48,BAL,2024_02_LV_BAL,1,247,146,1,0.214285714285714,0.285714285714286,54,25.1176470588235,-0.0353156589015485,0.0286526539747861,-0.0605797634817901,0.465116279069767,23,0.06051459937122308,0.12941176470588237,22.0,22.3,-22.33531565890155,0.1563025210084036,-0.3000000000000007,-0.010090188257585295,1.6802721088435375
64,BAL,2024_03_BAL_DAL,0,182,274,0,0.4,0.333333333333333,55,27.2941176470588,0.125254600192364,0.711390576985044,0.255571208790058,0.469135802469136,28,-0.007149287444241665,0.17226890756302535,21.5,22.60882352941175,-22.483568929219388,0.16106442577030763,-1.108823529411751,0.041751533397454625,0.6618181818181819
96,BAL,2024_04_BUF_BAL,1,157,271,1,0.555555555555556,0.285714285714286,77,21.3,0.211268353820152,0.388837639518897,0.237687862929306,0.549295774647887,35,0.03698534176796023,0.22595704948646123,23.666666666666668,24.1705882352941,-23.95931988147395,0.05975723622782475,-0.5039215686274332,0.06036238680575777,0.5772058823529411
130,BAL,2024_05_BAL_CIN,0,348,175,1,0.666666666666667,0.294117647058824,20,24.4117647058824,0.25153987805659,0.49414441551642,0.025026782784627,0.589473684210526,38,0.10040243170365581,0.3015873015873016,28.666666666666668,24.5705882352941,-24.31904835723751,-0.007469654528477643,4.096078431372568,0.07398231707546776,1.9772727272727273
182,BAL,2024_06_WAS_BAL,1,323,176,1,0.666666666666667,0.166666666666667,36,24.5,0.18508266033526,0.392915406338734,-0.0098012434817419,0.542168674698795,30,0.19602094402303535,0.30438842203548094,33.666666666666664,24.335294117647067,-24.150211457311805,-0.13772175536881395,9.331372549019598,0.030847110055876727,1.8248587570621468
184,BAL,2024_07_BAL_TB,0,281,244,1,0.375,0.19047619047619,100,21.6666666666667,0.301233250257474,1.0465434907669,0.0125998539365051,0.540540540540541,41,0.21596363073733402,0.24883286647992564,34.333333333333336,23.403921568627467,-23.102688318369992,-0.05835667600373565,10.929411764705868,0.057377761953804424,1.146938775510204
218,BAL,2024_08_BAL_CLE,0,289,124,0,0.25,0.214285714285714,97,25.5882352941176,0.0549440525357627,0.199200828395215,-0.0922735887524184,0.5,24,0.24595192954977466,0.21708683473389367,36.333333333333336,23.5261437908497,-23.47119973831394,-0.002801120448179678,12.807189542483634,0.011773725543377704,2.312
