TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,POINTSSCORED
ARI,2024_01_ARI_BUF,0,162,124,1,0.615384615,0.117647059,10,21.3,28
BUF,2024_01_ARI_BUF,1,232,130,1,0.25,0.173913043,86,21.47058824,34
BAL,2024_01_BAL_KC,0,273,185,1,0.4375,0.058823529,40,20.1,20
KC,2024_01_BAL_KC,1,291,72,1,0.4,0.076923077,69,20.73684211,27
CAR,2024_01_CAR_NO,0,161,58,4,0.153846154,0.142857143,59,23.11764706,10
NO,2024_01_CAR_NO,1,200,180,0,0.571428571,0.266666667,116,30.82352941,47
CLE,2024_01_DAL_CLE,1,169,93,2,0.125,0.181818182,90,27.29411765,16
DAL,2024_01_DAL_CLE,0,179,102,0,0.266666667,0.125,59,25.58823529,33
DEN,2024_01_DEN_SEA,0,138,99,4,0.263157895,0.058823529,15,21.23529412,19
SEA,2024_01_DEN_SEA,1,171,146,1,0.307692308,0,86,18.38888889,26
GB,2024_01_GB_PHI,0,260,163,1,0.357142857,0.037037037,102,17.61904762,29
PHI,2024_01_GB_PHI,1,278,144,3,0.357142857,0.12,26,19.27777778,31
HOU,2024_01_HOU_IND,0,234,213,0,0.444444444,0.2,40,24.88235294,29
IND,2024_01_HOU_IND,1,212,104,1,0.454545455,0.166666667,10,20.84210526,26
JAX,2024_01_JAX_MIA,0,162,128,1,0.166666667,0.222222222,90,20.76470588,17
MIA,2024_01_JAX_MIA,1,338,81,0,0.444444444,0.090909091,84,25,17
DET,2024_01_LA_DET,1,217,163,1,0.461538462,0.105263158,40,21.89473684,20
LA,2024_01_LA_DET,0,317,83,1,0.428571429,0.105263158,66,21.05555556,20
LAC,2024_01_LV_LAC,1,144,176,0,0.25,0.142857143,35,25.11764706,22
LV,2024_01_LV_LAC,0,257,71,3,0.333333333,0,30,17.66666667,10
MIN,2024_01_MIN_NYG,0,208,111,2,0.454545455,0.2,103,24.05882353,28
NYG,2024_01_MIN_NYG,1,186,74,2,0.4,0,55,19.33333333,6
CIN,2024_01_NE_CIN,1,164,70,1,0.307692308,0.142857143,35,23.82352941,10
NE,2024_01_NE_CIN,0,121,170,1,0.4,0.071428571,15,24.41176471,16
NYJ,2024_01_NYJ_SF,0,203,68,2,0.6,0.181818182,15,25,19
SF,2024_01_NYJ_SF,1,231,180,0,0.5,0.117647059,35,23.05882353,32
ATL,2024_01_PIT_ATL,1,155,89,3,0.272727273,0.125,54,20.72222222,10
PIT,2024_01_PIT_ATL,0,156,137,0,0.421052632,0,40,23.88235294,15
CHI,2024_01_TEN_CHI,1,93,84,1,0.133333333,0,60,27,24
TEN,2024_01_TEN_CHI,0,127,140,3,0.266666667,0.111111111,45,20.88235294,17
TB,2024_01_WAS_TB,1,289,112,0,0.647058824,0.2,39,24.5,37
WAS,2024_01_WAS_TB,0,184,138,0,0.3,0.3,36,21.66666667,20
ATL,2024_02_ATL_PHI,0,241,152,0,0.222222222,0.066666667,48,17.61904762,22
PHI,2024_02_ATL_PHI,1,183,186,1,0.461538462,0.076923077,45,23.88235294,21
BUF,2024_02_BUF_MIA,0,139,108,0,0.333333333,0.25,25,20.76470588,31
MIA,2024_02_BUF_MIA,1,225,139,3,0.4375,0.052631579,30,21.3,10
CHI,2024_02_CHI_HOU,0,174,71,2,0.380952381,0.2,110,20.84210526,13
HOU,2024_02_CHI_HOU,1,260,75,1,0.25,0,65,20.88235294,19
CIN,2024_02_CIN_KC,0,258,74,1,0.285714286,0.090909091,54,20.1,25
KC,2024_02_CIN_KC,1,151,149,3,0.2,0.0625,69,24.41176471,23
CLE,2024_02_CLE_JAX,0,186,125,0,0.1875,0.125,117,25,18
JAX,2024_02_CLE_JAX,1,220,127,0,0.4,0.0625,35,25.58823529,13
GB,2024_02_IND_GB,1,122,261,1,0.555555556,0.125,35,24.88235294,16
IND,2024_02_IND_GB,0,204,140,3,0.2,0.1,35,19.27777778,10
CAR,2024_02_LAC_CAR,1,84,90,1,0.076923077,0,45,17.66666667,3
LAC,2024_02_LAC_CAR,0,130,219,2,0.5625,0.125,60,30.82352941,26
ARI,2024_02_LA_ARI,1,266,231,1,0.583333333,0.2,33,21.89473684,41
LA,2024_02_LA_ARI,0,216,53,1,0.181818182,0.066666667,29,21.47058824,10
BAL,2024_02_LV_BAL,1,247,146,1,0.214285714,0.285714286,54,25.11764706,23
LV,2024_02_LV_BAL,0,276,27,1,0.384615385,0.142857143,70,20.73684211,23
DAL,2024_02_NO_DAL,1,299,68,2,0.428571429,0,30,23.11764706,19
NO,2024_02_NO_DAL,0,243,190,1,0.666666667,0.173913043,36,27.29411765,44
NYG,2024_02_NYG_WAS,0,178,129,1,0.545454545,0.25,39,24.5,18
WAS,2024_02_NYG_WAS,1,226,215,0,0.5,0,50,24.05882353,18
NYJ,2024_02_NYJ_TEN,0,176,101,0,0.428571429,0.222222222,35,27,24
TEN,2024_02_NYJ_TEN,1,192,130,2,0.428571429,0.071428571,80,23.05882353,17
DEN,2024_02_PIT_DEN,1,246,64,2,0.166666667,0,40,20.72222222,6
PIT,2024_02_PIT_DEN,0,117,141,0,0.333333333,0.111111111,162,18.38888889,13
NE,2024_02_SEA_NE,1,149,185,0,0.4375,0.105263158,25,21.23529412,20
SEA,2024_02_SEA_NE,0,327,46,0,0.470588235,0.1,67,23.82352941,20
MIN,2024_02_SF_MIN,1,268,146,2,0.583333333,0.066666667,23,25,23
SF,2024_02_SF_MIN,0,319,102,2,0.2,0.117647059,60,19.33333333,14
DET,2024_02_TB_DET,1,324,139,2,0.388888889,0.038461538,45,21.66666667,16
TB,2024_02_TB_DET,0,185,70,1,0.2,0.142857143,61,21.05555556,20
BAL,2024_03_BAL_DAL,0,182,274,0,0.4,0.333333333,55,27.29411765,28
DAL,2024_03_BAL_DAL,1,379,51,1,0.529411765,0.272727273,94,20.73684211,24
CAR,2024_03_CAR_LV,0,319,131,0,0.4,0.15,54,25.11764706,36
LV,2024_03_CAR_LV,1,296,55,1,0.25,0.272727273,51,30.82352941,21
CHI,2024_03_CHI_IND,0,363,63,3,0.428571429,0.095238095,73,24.88235294,15
IND,2024_03_CHI_IND,1,167,150,2,0.25,0.153846154,30,20.88235294,21
DEN,2024_03_DEN_TB,0,216,136,1,0.25,0.105263158,40,21.66666667,26
TB,2024_03_DEN_TB,1,163,91,2,0.272727273,0.125,14,18.38888889,7
ARI,2024_03_DET_ARI,1,207,77,1,0.181818182,0.25,79,21.05555556,10
DET,2024_03_DET_ARI,0,199,187,1,0.428571429,0.25,30,21.47058824,20
GB,2024_03_GB_TEN,0,202,188,0,0.357142857,0.076923077,60,27,30
TEN,2024_03_GB_TEN,1,260,33,3,0.3,0.222222222,30,19.27777778,14
HOU,2024_03_HOU_MIN,0,307,38,2,0.2,0.111111111,50,19.33333333,7
MIN,2024_03_HOU_MIN,1,181,118,0,0.352941176,0.2,68,20.84210526,34
BUF,2024_03_JAX_BUF,1,266,122,0,0.545454545,0.148148148,50,25,47
JAX,2024_03_JAX_BUF,0,200,92,2,0.214285714,0.071428571,42,21.3,10
ATL,2024_03_KC_ATL,1,230,82,1,0.272727273,0.153846154,81,20.1,17
KC,2024_03_KC_ATL,0,217,128,1,0.428571429,0.105263158,24,23.88235294,22
LAC,2024_03_LAC_PIT,0,149,61,0,0.25,0,25,20.72222222,10
PIT,2024_03_LAC_PIT,1,245,114,1,0.6,0.0625,59,17.66666667,20
MIA,2024_03_MIA_SEA,0,186,65,0,0.142857143,0,98,21.23529412,3
SEA,2024_03_MIA_SEA,1,289,100,2,0.230769231,0.333333333,79,20.76470588,24
NE,2024_03_NE_NYJ,0,120,78,1,0.214285714,0,74,23.05882353,3
NYJ,2024_03_NE_NYJ,1,281,133,0,0.625,0.214285714,102,23.82352941,24
CLE,2024_03_NYG_CLE,1,196,69,2,0.333333333,0.25,51,24.05882353,15
NYG,2024_03_NYG_CLE,0,236,112,2,0.266666667,0.176470588,65,25.58823529,21
NO,2024_03_PHI_NO,1,142,89,1,0.461538462,0.090909091,25,17.61904762,12
PHI,2024_03_PHI_NO,0,311,172,2,0.375,0.142857143,45,23.11764706,15
LA,2024_03_SF_LA,1,221,98,0,0.461538462,0.142857143,112,25,24
SF,2024_03_SF_LA,0,292,137,1,0.642857143,0.125,74,21.89473684,24
CIN,2024_03_WAS_CIN,1,324,124,0,0.6,0.095238095,23,24.5,32
WAS,2024_03_WAS_CIN,0,254,108,0,0.555555556,0.2,21,24.41176471,38
BAL,2024_04_BUF_BAL,1,157,271,1,0.555555556,0.285714286,77,21.3,35
BUF,2024_04_BUF_BAL,0,182,81,1,0.214285714,0.2,40,20.73684211,10
CAR,2024_04_CIN_CAR,1,220,155,1,0.470588235,0.153846154,20,24.41176471,24
CIN,2024_04_CIN_CAR,0,232,141,1,0.533333333,0.176470588,56,30.82352941,31
CLE,2024_04_CLE_LV,0,176,92,1,0.272727273,0.1,34,25.11764706,16
LV,2024_04_CLE_LV,1,130,152,1,0.384615385,0.2,53,25.58823529,20
DAL,2024_04_DAL_NYG,0,221,80,0,0.25,0.25,74,24.05882353,20
NYG,2024_04_DAL_NYG,1,281,26,1,0.277777778,0,50,27.29411765,15
DEN,2024_04_DEN_NYJ,0,60,126,1,0.2,0.25,55,23.05882353,10
NYJ,2024_04_DEN_NYJ,1,225,64,1,0.217391304,0,109,18.38888889,9
