,TEAM,game_id,HOME,PASSINGYARDS,RUSHINGYARDS,TURNOVERS,THIRDDOWN%,REDZONETD%,PENALTYYARDS,OPPONENTPAG,EPA_per_play,PASS_EPA,RUSH_EPA,SUCCESS_RATE,POINTSSCORED,EPA_per_play_last3,REDZONETD%_last3,POINTSSCORED_last3,OPPONENTPAG_last3
46,ARI,2024_02_LA_ARI,1,266,231,1,0.583333333333333,0.2,33,21.8947368421053,0.329899783546232,0.822776754143974,0.0850588914997655,0.602564102564103,41,0.144978042459721,0.117647058823529,28.0,21.3
72,ARI,2024_03_DET_ARI,1,207,77,1,0.181818181818182,0.25,79,21.0555555555556,-0.13607811659587,-0.160911563535775,-0.389087742613346,0.472222222222222,10,0.2374389130029765,0.1588235294117645,34.5,21.59736842105265
126,ARI,2024_04_WAS_ARI,1,142,181,1,0.363636363636364,0.222222222222222,20,24.5,-0.0604941768451999,-0.232080035681765,0.0323084805677354,0.513888888888889,14,0.11293323647002768,0.18921568627450966,26.333333333333332,21.416764132553634
128,ARI,2024_05_ARI_SF,0,195,169,1,0.3,0.0909090909090909,11,25.0,0.018857065441513,-0.0589467265222575,0.349898393952173,0.513888888888889,24,0.04444249670172071,0.224074074074074,21.666666666666668,22.4834307992203
156,ARI,2024_06_ARI_GB,0,214,89,3,0.363636363636364,0.111111111111111,85,19.2777777777778,-0.130582380496773,-0.0530890718328871,-0.223907374852823,0.493333333333333,13,-0.05923840933318563,0.18771043771043763,16.0,23.518518518518533
198,ARI,2024_07_LAC_ARI,1,145,181,1,0.333333333333333,0.0909090909090909,52,17.6666666666667,0.0837151036630212,-0.0131570964093463,0.0831636586463665,0.527777777777778,14,-0.0574064973001533,0.1414141414141413,17.0,22.925925925925934
214,ARI,2024_08_ARI_MIA,0,307,82,0,0.466666666666667,0.125,34,20.7647058823529,0.227882665666992,0.509264991834819,-0.0406904340658072,0.54320987654321,25,-0.009336737130746267,0.0976430976430976,17.0,20.648148148148167
246,ARI,2024_09_CHI_ARI,1,154,213,2,0.384615384615385,0.0952380952380952,17,20.8823529411765,0.0428039614055495,-0.317417834704461,0.0982191201917593,0.506849315068493,29,0.0603384629444134,0.10900673400673395,17.333333333333332,19.2363834422658
294,ARI,2024_10_NYJ_ARI,1,266,147,0,0.714285714285714,0.307692307692308,50,23.0588235294118,0.325060325491166,0.719222243263704,0.0974475423741575,0.623188405797101,31,0.11813391024518756,0.1037157287157287,22.666666666666668,19.771241830065367
332,ARI,2024_12_ARI_SEA,0,285,49,1,0.230769230769231,0.0,55,21.2352941176471,-0.167075283131825,-0.126486665844718,-0.35936820374835,0.394366197183099,6,0.1985823175212358,0.17597680097680105,28.333333333333332,21.5686274509804
358,ARI,2024_13_ARI_MIN,0,260,154,2,0.466666666666667,0.0588235294117647,116,19.3333333333333,0.024134903749134,0.0165862358731188,0.0654998719352314,0.514851485148515,22,0.06692966792163016,0.13431013431013442,22.0,21.725490196078468
414,ARI,2024_14_SEA_ARI,1,259,121,2,0.333333333333333,0.0666666666666667,59,21.2352941176471,-0.116137905474537,-0.110779617661871,0.0084369462053089,0.5,18,0.06070664870282499,0.12217194570135759,19.666666666666668,21.2091503267974
438,ARI,2024_15_NE_ARI,1,232,163,0,0.6875,0.1875,65,23.8235294117647,0.181469962444372,0.325083370754917,0.037555286546353,0.48780487804878,30,-0.08635942828574267,0.041830065359477135,15.333333333333334,20.6013071895425
448,ARI,2024_16_ARI_CAR,0,202,206,2,0.411764705882353,0.214285714285714,97,30.8235294117647,0.121062340804301,0.0382809367657087,0.314270367690265,0.51685393258427,30,0.02982232023965632,0.10433006535947713,23.333333333333332,21.464052287581705
480,ARI,2024_17_ARI_LA,0,321,113,2,0.5,0.0555555555555556,48,21.8947368421053,-0.0641995083302514,0.0427595100215333,-0.131800323995941,0.505494505494505,9,0.06213146592471199,0.15615079365079357,26.0,25.294117647058837
540,ARI,2024_18_SF_ARI,1,242,151,0,0.333333333333333,0.19047619047619,45,25.0,0.252902568882549,0.228881362892817,0.273232280875651,0.583333333333333,46,0.0794442649728072,0.15244708994708986,23.0,25.513931888544903
26,ATL,2024_01_PIT_ATL,1,155,89,3,0.272727272727273,0.125,54,20.7222222222222,-0.246584575728043,-0.407151613848366,-0.282944227079332,0.485294117647059,10,0.02843141623702479,0.13492063492063477,19.5,26.359133126935003
32,ATL,2024_02_ATL_PHI,0,241,152,0,0.222222222222222,0.0666666666666667,48,17.6190476190476,0.141498201146777,0.293003269025195,-0.0167643572159918,0.513888888888889,22,-0.1553920420291472,0.0902777777777778,9.5,21.30847953216375
80,ATL,2024_03_KC_ATL,1,230,82,1,0.272727272727273,0.153846153846154,81,20.1,-0.0064002290397489,0.0902170764121756,-0.344575310089567,0.466666666666667,17,-0.05254318729063301,0.09583333333333335,16.0,19.1706349206349
116,ATL,2024_04_NO_ATL,1,238,88,2,0.363636363636364,0.0,81,23.1176470588235,0.0850433768114459,-0.029699907205334,0.138249358845254,0.430555555555556,23,-0.037162201207004975,0.11517094017094022,16.333333333333332,19.480423280423267
154,ATL,2024_05_TB_ATL,1,509,73,1,0.466666666666667,0.181818181818182,87,21.6666666666667,0.14316196399992,0.355892680137096,-0.186954712427299,0.514018691588785,30,0.07338044963949132,0.07350427350427356,20.666666666666668,20.278898225957033
158,ATL,2024_06_ATL_CAR,0,225,198,1,0.538461538461538,0.133333333333333,25,30.8235294117647,0.201435462162828,0.232066112961881,0.320625039565127,0.536585365853659,38,0.07393503725720565,0.11188811188811199,23.333333333333332,21.628104575163402
210,ATL,2024_07_SEA_ATL,1,246,155,3,0.444444444444444,0.181818181818182,42,21.2352941176471,-0.143411033645705,-0.206498021021044,0.0367570944457134,0.5,14,0.14321360099139796,0.10505050505050499,30.333333333333332,25.202614379084967
216,ATL,2024_08_ATL_TB,0,276,129,0,0.538461538461538,0.166666666666667,40,21.6666666666667,0.158674596651871,0.488454160182887,0.0157562974749887,0.578947368421053,31,0.06706213083901431,0.16565656565656564,27.333333333333332,24.575163398692833
